compositeHourlyWages,age,yearsEducation,sex1M0F
21.38,58,10,1
25.15,42,16,1
8.57,31,12,0
12.07,43,13,0
10.97,46,12,0
22.07,31,19,0
23.91,26,12,1
5.5,19,13,0
7.2,18,11,1
14.83,51,10,1
9.4,19,11,0
15.36,43,14,1
9.37,62,11,1
29.62,42,17,0
14.5,31,13,0
6.94,19,14,1
7.1,35,13,0
17.08,30,12,1
23.57,44,12,1
17.81,34,13,1
12.07,25,17,1
3.13,60,20,1
11.09,54,10,1
9.6,52,9,0
45.38,36,18,1
17.98,53,12,0
13.24,42,10,0
31.2,57,20,1
6.7,27,11,0
14.85,30,10,1
17,42,10,0
14.28,48,13,0
8.39,24,17,0
18.72,48,17,1
14,27,10,1
20.5,52,16,0
12.45,34,14,0
16.86,32,13,1
15,26,17,1
11.67,55,10,0
6.31,28,11,1
7,18,15,0
16.96,39,12,0
44.25,20,14,0
38.4,42,15,0
7.5,44,11,0
10.71,21,14,1
7.4,19,12,1
23.26,36,20,0
21,24,18,0
7.7,21,16,1
7.5,26,18,1
20.4,31,13,1
10,53,14,0
34.8,42,16,1
14.52,30,15,0
23.04,43,14,1
9.65,40,14,0
15.78,37,13,0
14.61,51,10,1
6.96,21,12,0
33.6,41,13,1
45.5,55,8,1
13.65,32,12,0
24,38,15,0
16.8,40,15,1
8.36,32,10,1
8.79,45,4,0
7.3,20,13,0
3.12,24,17,1
10,50,9,0
16.97,30,13,0
21.1,30,15,0
15.84,32,14,0
20,47,16,1
14.07,56,12,0
8.89,21,16,1
6.65,51,12,0
23.68,39,13,0
12.85,27,14,0
46.15,18,11,1
21.16,30,18,1
13,49,13,1
8,37,8,0
20,48,13,1
23.2,35,20,0
7.72,18,13,0
11.18,64,0,1
8.48,21,12,1
34.56,46,12,1
10.47,29,11,1
15.66,45,17,0
23.05,51,10,1
9.59,32,16,1
20,29,20,0
6.95,20,14,1
12.76,31,12,0
13.44,36,14,0
37.76,50,15,1
15,36,13,1
16.3,29,16,0
4.94,59,13,1
6.7,20,14,0
24.14,49,10,1
17.44,37,8,0
7,34,12,0
16.5,47,18,1
19.83,44,9,1
19.2,30,12,0
21.39,39,16,1
13.5,50,10,1
25.98,47,15,0
6.42,43,12,0
19.2,57,13,1
8.5,24,14,0
23.04,29,16,1
12,43,10,0
6.7,19,14,1
32.16,48,13,1
10,26,11,1
16.1,29,13,1
12.22,26,11,1
24.92,39,12,1
23.04,49,17,0
17.67,42,13,0
7.61,41,11,0
18.61,49,12,0
10.26,31,13,0
15.31,32,15,0
12.55,35,12,0
19.19,64,13,0
7.15,17,11,1
8,28,14,0
27.12,25,15,0
13.52,31,12,1
9.38,34,10,1
6.7,38,8,0
8,37,12,0
21.03,41,11,1
12.88,48,12,0
3.63,19,13,1
10.83,29,18,1
20.16,51,1,1
7.25,17,11,1
23.35,44,20,1
7.03,18,12,0
36.11,35,17,1
19,31,18,1
23,27,17,1
18.92,45,14,1
16.8,36,16,0
17.87,25,17,0
6.67,20,13,0
10,64,11,0
15.84,64,13,1
11,28,16,1
24,60,17,0
9.5,58,12,0
12.81,41,10,1
42.88,41,20,0
8.5,50,13,0
12.5,35,17,0
12.48,39,11,0
21.68,56,13,1
30.1,47,13,1
15.6,37,13,1
12.81,54,12,0
28.35,44,12,1
16.62,32,9,0
10,43,14,0
14.62,28,13,1
19.2,49,10,1
7.45,42,10,1
24.32,35,20,1
16.15,34,17,0
14.97,53,13,1
18.92,41,20,1
6.46,28,15,0
6,20,15,0
14.34,23,12,0
10,30,20,0
13.75,57,8,1
23.48,44,16,0
19.6,53,11,1
13.73,39,11,0
3,17,12,1
7,59,13,0
8.76,23,18,1
9.25,55,8,0
29.98,44,17,0
12.37,25,13,0
5.17,34,17,0
7.66,23,17,0
6.7,23,16,0
16.59,44,16,1
10,46,14,0
15.44,31,13,0
16.3,26,12,1
16.28,29,14,0
9.13,19,15,1
20,56,11,1
8,46,11,0
12.64,34,10,0
21.82,38,12,1
20.1,32,17,0
12,29,8,1
26.38,60,8,1
17.22,28,15,1
18.81,40,13,1
15.72,43,16,0
41.38,44,11,1
19,34,12,1
12.2,34,13,1
12,24,13,0
6.34,21,14,0
9.06,18,12,0
15.5,26,14,1
6.63,47,12,0
22.08,45,20,1
10,38,16,0
19.2,43,18,1
5,58,11,0
13.63,25,13,0
13.31,34,13,0
6.71,29,12,0
8.86,29,12,1
10,46,9,0
6.72,59,12,0
16.5,51,12,1
16.9,53,10,0
33.28,39,15,0
8.32,32,14,0
15,34,12,1
22.53,37,15,1
14.89,35,12,0
7,26,12,1
8.23,22,15,1
22.27,38,20,0
17,37,12,1
19.18,47,11,0
14.63,23,14,0
8.5,41,10,0
14.4,55,9,0
14,25,16,0
13.05,64,9,0
25,62,13,0
14.85,39,12,1
15.87,29,12,0
12,34,12,1
6.85,62,8,0
21.6,33,11,1
18.24,55,16,0
15,32,13,1
14.26,31,12,0
19.18,30,18,1
10.29,18,13,0
32.64,33,12,1
10,40,13,1
6.5,16,10,1
11.26,55,12,0
15.07,65,5,1
16.26,32,14,0
30.82,54,16,0
7,19,14,0
22.32,47,13,1
12.87,34,12,0
12.51,35,14,0
23.14,43,13,1
18.56,53,18,0
19.62,36,12,0
6.52,27,17,0
16.7,59,19,0
11.44,20,12,1
3.62,57,13,1
14.8,37,13,0
12,47,12,0
33.12,53,20,1
15.83,25,17,1
7,23,12,1
17.76,44,14,0
19.26,39,13,1
6.45,16,10,1
8,61,12,1
7,50,12,0
12.9,23,17,1
15.36,44,18,0
44.28,59,15,1
14.98,30,12,1
7.5,18,12,0
16.61,43,16,1
16.4,55,13,0
19.68,32,11,0
26.58,35,13,1
18.24,26,16,1
14,34,17,0
7.05,19,10,0
9,35,12,1
28.32,38,17,1
7,18,12,1
12.4,24,16,0
18.29,28,14,1
12,53,11,0
27.84,50,18,0
3.43,31,12,1
31.2,44,17,0
14.3,52,9,1
22.4,35,12,1
11.36,32,9,1
7.6,27,11,1
17,34,11,1
23.25,27,12,1
7.5,34,12,0
13.61,36,12,1
10.24,63,10,0
14,52,8,1
7,18,11,1
6.73,16,10,0
9.05,33,11,0
4.84,34,10,0
6.7,19,13,1
33.6,36,16,1
10.11,37,12,0
15.36,47,20,0
10,54,8,1
23.52,32,13,1
7.75,37,13,1
17.92,48,12,0
6.85,21,14,1
17.06,45,10,0
13.42,37,15,1
19.65,33,12,0
16.83,46,16,1
25,34,17,0
6.7,17,9,0
10.07,20,13,0
6.76,55,11,0
6.25,53,12,0
11.29,31,13,1
13.99,24,14,0
17.63,29,14,0
6.7,55,10,0
8.55,38,11,0
5.64,20,13,1
20,43,12,1
23.04,39,11,0
9.79,23,14,0
12.5,24,15,0
16,46,16,0
9.17,63,9,1
19.5,45,16,0
17.23,52,12,0
8.65,20,13,1
7.69,21,13,1
29.76,41,15,1
11.5,27,13,1
14.75,32,12,0
19.28,49,10,1
6.85,42,10,0
11.93,30,12,0
14,27,8,1
31.2,57,14,0
15,32,15,0
10,26,19,1
25,30,13,0
22.23,57,8,1
6.72,22,10,1
13,39,12,0
15,39,17,1
23.59,36,15,0
6.74,19,13,1
7,35,8,0
26.85,37,16,0
12.85,33,12,1
11,25,15,0
9,42,12,0
11.92,22,14,1
22,47,10,1
22.53,28,12,0
12.8,64,11,0
16,42,9,0
8.34,23,13,1
7.49,19,11,0
9.86,23,14,1
10,48,10,0
6.75,17,11,0
29.18,57,16,0
16.96,54,6,0
42.93,64,20,1
17.5,31,12,1
6,32,17,0
11.5,60,5,1
25.95,51,16,0
23.77,65,9,1
7.56,40,14,0
9,27,8,1
20.95,42,13,1
12.8,58,11,0
15.81,51,9,1
4.88,20,12,1
6.12,16,9,0
13.92,56,12,0
7.5,32,12,0
13.62,54,14,1
33.6,44,13,1
32.03,41,15,0
15.26,44,12,0
19.93,48,15,1
21.15,41,12,1
8,60,11,0
20,42,9,1
16.32,56,9,1
27.27,40,14,1
16.8,37,14,1
20.45,58,17,1
21.94,30,17,0
15.23,45,10,1
13.95,49,12,0
14,36,12,1
6.7,18,12,0
7.36,36,12,0
9.02,21,15,0
12.55,43,10,1
13.1,27,19,1
28.04,43,10,1
20.16,27,12,0
15.75,34,20,1
6.2,16,10,0
22.98,29,14,1
19.2,33,12,1
15.36,58,12,0
22.33,30,11,1
15.8,30,6,1
10.81,49,0,1
14.85,48,12,0
15.36,47,12,0
17.67,43,12,1
8.81,40,14,1
17,35,8,1
14.65,42,13,0
30.1,46,16,0
5.75,17,12,0
6.71,20,11,1
19.07,44,13,1
10,24,17,1
21.34,39,15,0
38.4,49,17,1
8.92,42,12,1
6.7,18,13,1
4.25,17,12,1
18.33,37,20,1
33.59,46,17,1
12.73,57,8,0
25.26,56,13,1
14.03,53,14,1
7,18,12,1
10.21,21,14,0
12,52,9,1
15.32,62,7,1
7,26,13,0
10.84,22,16,1
13.78,56,10,0
11.3,43,12,0
13.59,42,13,0
7,18,12,0
36.7,32,16,0
16.97,35,14,0
14.33,39,11,0
15.95,54,13,1
23.52,29,17,1
8,37,13,0
22.38,46,11,1
10.36,25,16,0
12.53,26,12,1
24,32,13,1
8.5,31,13,0
10.25,23,12,0
19,28,13,1
6.7,42,13,0
15.48,37,16,1
7.65,53,12,0
12.8,55,17,0
7.52,19,11,1
41.85,53,20,1
6.7,18,12,1
16.51,52,4,1
12.5,49,10,0
19.2,28,14,1
9.65,37,13,0
18.11,30,13,0
7.63,37,12,1
14.36,53,10,0
12.09,30,19,0
8.83,64,10,0
9.3,44,13,0
16,37,13,0
16,38,12,0
13.23,58,10,1
16.32,54,13,0
23.04,52,12,1
8.71,34,11,0
21.04,37,12,0
6.8,26,15,1
20.29,39,20,0
14.5,36,12,0
12.07,55,13,0
9,19,12,1
23.47,36,13,1
16.4,30,15,1
25.44,39,12,1
33.6,40,16,1
10.51,46,12,0
12.11,21,15,1
20,36,14,1
12,61,13,0
8.98,31,14,0
15,42,10,1
23.04,24,12,0
9.6,54,8,0
8.57,37,15,1
19.2,56,7,1
10,37,13,1
15.99,64,15,1
16.46,32,12,0
24.84,32,9,1
25.6,52,16,0
20.48,38,11,0
6.7,61,10,0
12.21,30,11,1
9.06,21,13,1
26.4,48,17,0
12,36,14,0
29.33,40,18,0
7,26,13,0
10.53,25,19,0
10.81,62,12,0
39,47,17,1
12.8,42,14,0
17.88,37,12,0
18.28,37,16,1
14.13,54,8,1
11.8,60,9,0
32.64,48,18,1
5.27,22,17,0
14.5,39,10,1
12.75,31,13,1
23,32,14,1
18.53,30,14,1
19.33,45,10,1
15.06,42,11,1
17.76,46,14,1
20.26,34,13,0
15.51,32,11,1
25.03,55,19,1
16.14,26,12,1
18.2,35,12,1
19.2,38,12,0
18.29,36,14,1
10.26,57,10,0
16,35,12,1
10,34,17,0
10.87,34,12,1
7.1,50,9,0
20.1,42,14,1
9.19,18,12,1
10.52,28,10,1
12,36,12,1
19,36,12,1
14.23,64,13,0
12,24,11,1
12,23,12,1
31.71,42,12,1
25.95,60,19,0
21.28,32,12,1
25.6,42,18,0
11.49,50,12,0
15.91,57,15,0
6.3,25,17,0
30,51,10,1
26.76,38,13,1
7.5,25,12,0
7.15,18,11,0
21.34,49,12,1
21.39,35,20,0
9,35,12,1
14.5,37,13,1
12,37,14,0
11.65,22,13,1
29.01,41,14,1
7.5,43,18,0
8.01,20,9,0
5.84,40,14,0
30.72,37,14,0
12.79,47,12,0
11.43,42,13,0
12,22,12,1
9.34,18,12,1
9.25,37,11,1
24,30,15,0
15.33,25,13,1
16.8,30,17,0
8,39,11,0
13.95,35,10,0
10,30,10,0
15.5,64,11,1
32.64,38,15,0
6.7,16,10,0
18.99,62,13,1
18.24,34,10,0
10,49,12,0
6.7,22,12,0
26.88,52,17,1
17.92,54,17,0
17.1,27,15,0
23.04,37,19,0
15.67,62,7,1
24.54,58,8,1
12,36,10,0
11.03,21,14,0
19.2,27,18,1
23.46,49,18,0
25.5,29,20,1
6.5,19,11,1
6.51,43,16,0
16.45,34,13,0
11,42,9,0
13.55,24,17,0
15.16,32,15,0
30.48,49,17,1
7.5,23,14,1
10.25,60,9,0
21.6,40,15,1
31.19,44,15,1
6.8,21,13,0
18.22,28,6,1
7.5,31,15,1
27.34,37,14,0
16.28,24,16,1
19.23,54,20,1
26.4,30,19,0
15,25,13,0
12,36,15,0
29.95,56,20,1
12.5,31,12,0
23.04,33,20,0
29.54,47,11,0
17,30,12,1
18.24,35,17,0
7.3,29,8,0
17.21,27,18,0
8.2,57,13,0
40.8,60,20,1
10.16,36,12,0
13.09,34,16,1
10.5,44,12,1
19.04,29,20,0
14.43,43,12,0
24.7,35,14,1
9.9,20,12,0
14.26,41,10,1
14,26,10,0
7.61,23,14,0
13.44,51,12,0
10,36,10,1
10.98,26,12,1
12.82,53,1,1
6.58,23,12,1
15.76,63,16,0
19.26,25,8,1
26.4,39,17,1
8.32,30,11,0
14.05,33,15,1
23.63,62,12,1
7.36,36,14,0
19.68,34,11,1
7.75,54,13,0
8.75,40,10,0
30.46,57,11,1
7,27,9,0
10.71,35,15,0
19.72,25,19,1
20.4,25,20,1
8.5,31,19,0
7.53,21,12,1
31.49,45,16,1
10.63,31,12,0
7.75,30,16,0
21.12,42,19,0
10,18,12,1
6.5,17,10,0
29.24,27,17,1
18.33,45,8,1
11.35,48,12,0
36.57,62,20,1
15,43,12,1
16.58,34,12,0
12,49,12,0
44.95,46,17,1
26.88,56,20,1
16.66,61,8,0
15.92,47,12,1
25.6,44,12,0
23.84,53,13,1
36.27,28,13,0
24,47,15,1
15.1,23,15,0
8.5,32,15,0
8,32,10,1
7,18,11,0
7.91,31,12,0
24.44,37,13,0
5.58,33,10,1
17,54,11,1
7.51,30,15,0
25,28,16,1
17.23,40,12,1
10.03,41,12,0
13.41,29,18,1
6.25,16,10,0
38.76,33,11,1
17.76,50,10,1
8.89,62,10,1
18.46,63,16,1
6.4,24,13,1
7,24,16,1
11.43,21,12,0
20,34,10,1
38.4,37,17,0
11.25,30,11,1
8,39,13,0
14.13,45,12,0
26.4,38,11,1
23.97,57,13,1
8.5,18,12,1
11.1,42,12,0
32.64,39,16,1
6.87,20,13,0
23.04,39,14,0
13.09,59,6,1
15.71,40,12,1
10.96,32,12,0
24.38,30,20,1
7,25,17,0
7,42,16,1
25.53,58,8,1
19.2,51,16,1
8.5,62,9,0
8,34,10,1
10,37,12,0
7.75,37,12,0
6.85,32,13,0
11.86,29,12,1
9.2,40,13,0
10.22,61,17,0
17.76,44,12,1
8.79,47,12,1
9.33,51,10,0
15.33,26,20,1
11,39,11,0
12,46,14,0
17.59,44,14,0
10.55,33,12,0
25,47,13,1
7.25,41,12,1
6.85,16,10,0
15.87,33,15,1
7.7,21,14,1
24.96,37,16,1
22.5,42,20,1
16,44,12,0
21.42,39,12,1
16.8,44,18,1
10.2,61,12,0
17.43,34,17,1
10.41,23,17,1
12.58,38,0,0
10,25,9,1
15.78,47,16,1
6.4,25,11,0
5.75,36,14,0
17.28,30,15,0
15.36,22,12,1
7,25,18,0
10.93,57,12,0
32.31,49,8,0
15.86,31,10,0
9.54,38,8,1
17.91,37,14,0
24.04,50,11,1
23.04,57,11,0
34.56,30,17,1
6.75,23,12,1
17.98,49,9,1
25,40,14,0
17.76,28,18,0
14.35,49,14,0
5,17,11,1
18.94,32,16,0
17.4,49,13,0
13.53,33,14,1
16.46,28,12,0
16.54,25,19,1
18,41,15,0
14.25,36,12,1
20.85,40,12,0
13.5,43,19,0
13.49,57,8,0
13,25,14,0
14.09,26,16,0
14.5,46,14,0
15.61,27,17,1
17.44,32,12,1
25.92,33,13,1
8,47,10,0
13.8,42,11,0
17.4,36,12,1
32.91,43,18,0
30.69,56,14,0
14,50,16,0
23.34,44,13,1
14.34,38,10,1
12.31,22,16,0
7.75,22,12,0
25.63,38,14,0
8.4,43,13,0
28.54,32,15,0
15,31,12,0
13.9,28,17,1
16.8,49,13,1
13.92,59,12,0
11.32,34,17,1
25.95,37,15,0
9.42,46,1,0
16.8,50,11,1
14.88,35,12,0
7.5,38,12,0
10.56,42,13,0
18,47,12,1
23.79,32,17,0
13.8,50,9,1
8,30,13,0
13.07,44,16,1
14.4,41,16,0
20.3,34,17,0
19.2,45,16,0
18.27,40,12,1
18.43,28,17,1
19.05,48,12,0
14.37,27,14,0
12.39,37,9,1
8,30,13,0
6.8,29,16,0
10.95,25,10,0
11.64,33,11,1
30.24,40,19,0
6.78,19,12,0
6.5,17,12,1
14.26,34,12,0
9,26,17,1
7.02,20,14,1
10,27,19,0
11,37,13,0
17.6,40,12,1
13.6,32,12,1
8.58,21,12,1
21.5,49,16,0
14.04,61,9,0
28.78,40,16,1
14.49,46,10,1
11,28,15,0
8.32,21,12,1
6.85,17,11,1
25.8,54,12,0
10.35,43,15,0
12.17,54,15,0
8.39,36,11,0
30,61,12,0
7.49,21,15,0
38.07,40,19,1
19.2,47,12,1
22.65,52,8,1
6.7,18,12,0
8,24,12,1
7.66,20,16,0
12,43,8,1
11.25,56,10,0
19.68,39,12,1
25.81,37,12,1
16,46,7,1
20.92,30,14,1
6.85,20,15,0
12.48,40,12,1
12,42,8,1
14.51,26,14,0
13.7,27,18,0
30,39,20,1
9.33,17,11,1
8,33,9,1
21,49,13,1
12.25,58,12,0
12.48,49,10,1
10.09,35,12,0
16.57,36,12,1
6.9,42,12,0
11.25,30,16,1
8.05,29,12,0
14.85,30,12,0
9,36,12,0
9.72,28,15,1
14.21,40,14,0
14.4,25,17,1
7,30,12,1
8.79,31,8,0
6.7,17,11,0
6.7,16,10,1
7.18,24,13,1
15.16,32,14,0
10.75,22,15,1
6.75,21,10,1
4.2,16,2,0
12.86,30,13,0
18,32,12,1
21.5,24,13,1
15,58,17,0
9.01,46,13,1
17.52,40,12,1
18,45,9,1
19.38,28,11,1
24.46,32,13,0
15.88,24,15,0
8.7,24,12,1
20.88,35,19,1
6.85,16,10,0
9.54,60,14,0
32.4,31,16,1
17.6,39,16,0
18.21,45,12,0
6.9,24,16,0
20.58,31,19,0
14.23,55,9,1
27.43,55,16,1
36.94,40,10,1
15.36,46,20,1
29.16,52,14,1
6.5,25,12,1
9.23,36,12,0
14,25,17,1
12.07,42,15,0
16.01,39,19,0
8.5,26,17,1
15,25,15,1
11.94,20,11,0
19.2,32,15,1
22.4,31,16,1
21,39,11,0
18,31,14,1
31.2,37,18,1
14.71,54,9,1
25,60,11,1
12.96,35,18,1
7.25,45,9,0
17.62,36,10,0
14.98,53,16,1
19.47,49,11,1
15.06,44,13,0
8.21,32,14,0
9,35,11,1
6,17,13,0
15.1,27,14,0
12,38,7,1
5.11,23,15,0
15.36,23,18,1
6.7,19,12,0
26.62,45,16,1
17,32,15,0
17.5,33,12,1
6.7,20,14,0
7.75,27,14,1
12.8,45,20,1
21.22,39,17,0
8.61,37,14,0
7.68,34,12,0
9.43,58,14,1
6.7,23,13,0
16.51,27,13,1
19.2,53,11,0
13.73,31,12,1
7.45,21,12,1
15.87,56,10,0
8,28,14,0
12.1,37,15,0
26.4,47,14,0
15.84,34,16,1
13.75,16,9,1
25,40,12,1
17.22,58,11,1
6.75,40,12,0
38.4,39,10,1
10.51,27,13,0
14.64,48,9,0
6.58,19,12,0
18.65,55,13,0
11.04,44,13,0
7,20,13,1
7,17,10,0
11.36,51,12,1
15.36,60,10,1
6.5,19,12,0
11.51,36,13,1
18.43,32,12,1
25,37,16,1
15,30,12,1
9,58,8,0
12.03,37,13,0
8.37,65,12,0
9.91,24,20,0
8.36,56,6,1
6.6,18,10,1
21.67,27,14,1
7.5,39,12,0
7.5,24,12,0
12.48,29,15,1
14.8,33,11,0
27.84,38,12,1
19.2,39,16,1
9,23,14,1
15.77,32,12,1
20.76,44,18,0
7,28,10,1
16.81,61,12,0
13.5,38,10,1
16,49,14,1
6.7,61,12,0
6.75,24,15,1
17.07,32,14,0
7.15,24,15,0
24.19,54,17,1
10,18,13,1
14.93,28,19,1
15,26,16,0
15.77,33,12,1
28.8,49,17,1
21.6,63,7,1
21.12,36,12,0
8,46,13,0
7,23,14,1
9,30,9,1
12.13,31,11,1
32.59,50,16,0
6.53,45,10,0
14.4,54,11,0
17,48,12,0
3.18,35,20,1
13.33,28,12,1
8.5,64,8,1
15.36,39,12,0
25.44,46,16,0
21,40,10,0
13.07,42,19,1
19.94,31,12,0
14.85,36,15,0
21.6,48,11,1
16,51,13,1
17.86,35,13,1
16.46,44,10,0
10,37,14,0
8.13,51,10,0
