compositeHourlyWages,age,yearsEducation,sex1M0F
10.93,44,14,1
31.1,36,10,1
23.04,55,12,1
20.84,39,13,0
23.04,31,13,1
17.9,45,13,1
16,26,10,1
12,51,15,1
9.5,22,12,0
9.37,22,15,0
8.9,32,9,1
31.04,47,14,1
19.55,27,14,1
22.22,47,15,0
14.66,30,12,1
35.96,48,20,1
6.75,18,12,0
7.39,20,15,0
7.65,32,11,0
10,26,14,1
16.2,27,9,1
14.77,39,14,1
18.87,46,14,0
19.12,46,14,0
5,16,10,1
16.3,30,16,1
12.38,32,12,0
22.68,45,15,1
13.75,48,10,1
28.32,46,17,0
9.33,25,12,0
20.16,25,20,1
29.84,28,14,1
6.7,38,16,0
10.56,34,13,1
29.28,50,18,0
6.75,56,13,0
18.92,51,12,1
12.3,40,20,1
8.5,36,12,0
10,20,9,1
5.8,35,14,0
18.54,38,12,1
11.9,34,15,1
10.25,36,11,0
17,52,9,1
25.44,35,10,1
48.29,46,15,1
8.79,42,12,0
13.44,64,12,0
15.66,54,8,1
7,31,12,0
9.73,49,14,0
16,32,12,1
17.62,33,12,1
37.88,36,19,1
15.79,26,17,1
39.21,37,12,1
23.07,39,13,1
15,22,14,0
8.06,23,9,0
12.29,31,13,0
7,54,14,0
24.69,31,18,0
14.97,26,15,0
10.36,44,14,0
4.63,24,14,0
17.76,56,13,1
7,23,12,0
15,32,12,1
16.8,37,14,1
15.77,27,12,1
6.7,19,12,0
7.1,28,12,0
7,25,12,1
23.2,26,20,1
19.84,44,13,1
4.96,21,16,0
10.56,32,15,1
18.25,28,17,0
17.92,28,17,0
23.06,23,19,0
24,48,14,0
6.74,18,12,0
24.69,35,12,0
32.64,52,14,1
12.9,42,14,0
6.95,32,12,1
13,22,11,1
14,40,11,1
6.75,17,11,0
9,43,8,1
22.19,32,16,1
19.58,38,13,1
7,32,11,1
14.5,31,16,0
22.02,34,13,0
10.11,37,15,0
6.7,17,11,0
20.8,43,12,1
18.56,36,13,0
12,29,11,1
21.3,31,10,0
10.18,28,12,0
5.8,33,14,1
7.63,17,11,0
10.12,32,12,0
24.48,31,19,1
11.64,20,14,0
31.99,34,16,1
9,21,14,1
11.04,31,14,1
11.59,26,13,1
6.85,49,8,0
19.93,61,11,1
7.83,20,13,1
8.55,54,8,1
16.79,33,10,0
10,33,14,0
11,56,12,0
16.22,46,15,0
8,23,15,0
13.73,41,19,0
18.46,50,19,1
24,36,18,1
25.95,55,11,1
31.23,35,17,0
9.41,21,13,0
6.5,30,15,0
7.47,32,10,0
10.16,35,15,0
40.05,50,20,0
40,38,14,0
26.4,48,15,0
10,17,11,1
8.26,18,11,1
24.44,37,13,1
30.08,51,13,0
3.84,20,12,1
7.5,59,13,0
10.78,46,11,1
22.98,36,15,0
14.21,38,18,0
9.75,28,13,1
9,23,15,1
15.52,25,17,1
7.07,18,10,0
10.75,36,13,0
9,21,16,1
6.7,19,13,0
12.96,40,12,0
17.6,38,17,1
17.41,35,13,0
13.6,31,11,1
16.95,29,18,0
25.92,53,14,0
14.13,52,13,0
10.63,23,17,0
6.21,33,13,1
8,38,15,0
11,25,13,1
13,29,16,1
45.12,53,8,1
6,60,9,0
13.13,48,11,1
14,64,8,1
6.13,33,12,0
6.8,19,12,0
5,35,15,0
36.25,57,8,0
12.8,34,12,0
17,30,12,1
22.7,43,12,1
24,31,17,1
13.75,43,16,1
16.78,45,13,1
17,33,13,0
12.55,37,13,1
19.2,38,9,1
10.24,29,14,0
6.7,19,12,0
27.67,47,13,0
13.68,28,12,1
23,64,17,0
17.95,24,15,0
28.8,38,16,0
8,51,12,0
8.2,31,15,1
33.18,54,20,1
12.1,36,14,0
14.77,34,17,0
14,36,12,0
15.36,40,14,0
32.16,40,18,1
7.55,48,10,0
13.18,41,11,0
9.85,35,12,1
18.41,28,16,1
30.32,56,12,1
14,24,12,1
7,16,11,1
6.7,16,10,0
10,35,10,1
20.01,51,13,1
10.34,41,13,0
13.06,38,13,0
33.59,53,15,0
12.82,35,12,0
33.6,60,13,1
8.4,24,12,0
17.64,36,12,1
7,47,8,1
30.72,42,15,1
18.94,36,13,0
13.96,40,13,1
15,31,14,1
23,57,6,1
13,48,12,0
24,54,6,1
16,48,10,1
8.54,29,12,0
38.4,39,15,1
12.8,58,14,0
35.66,48,20,1
6.71,28,13,1
12.8,46,11,0
7.95,33,12,0
12,51,13,0
19.95,28,16,1
29.9,45,14,1
10.5,63,8,1
40.96,54,17,1
7,25,12,0
15,38,12,1
15,39,12,0
22.02,61,12,1
6.75,45,15,0
10.24,53,13,0
9.82,18,12,1
7.1,17,11,0
17.89,25,14,0
17.5,45,10,1
9.25,47,10,0
9.92,36,14,0
14.41,45,12,0
12,23,16,0
9.75,60,8,1
14.29,41,15,1
11.06,32,12,0
9,20,13,0
8.42,58,12,0
49.92,41,20,0
14.83,46,15,1
9,44,17,1
24,33,14,1
12.07,29,12,0
7,18,13,1
7.03,43,10,0
20.83,32,15,0
22.21,40,13,1
21.6,49,13,0
10.45,59,14,0
25.75,31,12,1
25.72,57,8,1
11.52,53,9,0
24.96,42,12,1
21.57,41,9,1
7.13,46,12,0
6.75,18,12,1
13.82,53,10,0
17.76,42,12,0
8.32,42,13,1
10.2,26,11,1
10.25,63,12,0
19.64,43,17,1
20.16,51,16,1
11.94,34,14,0
7.79,20,12,0
7,17,11,0
9.12,30,13,1
12.03,26,15,0
19.2,30,19,1
3.84,32,13,1
10.22,29,12,1
9.81,24,12,1
24,48,12,1
3.75,16,10,1
19.68,38,12,1
6.7,53,8,0
18.12,35,15,0
18.33,29,14,0
7.94,24,13,1
18.07,48,13,1
16.16,32,17,0
16.9,42,14,0
8,57,17,0
17.4,31,10,0
13,31,11,1
12.84,26,12,0
33.6,53,11,1
17.75,34,18,1
7.1,19,9,1
20.64,32,13,1
28.8,53,14,1
12.57,30,15,0
18.79,52,14,0
9.16,42,6,1
8.01,20,14,0
15.25,34,12,1
13.65,30,19,0
10,22,12,0
12,25,14,0
15.73,39,18,1
6.35,19,13,0
15,54,13,1
8.96,23,12,1
12.51,26,13,0
13.28,33,12,0
8,54,15,0
9.49,55,9,0
41.28,36,14,1
27.43,59,14,0
8.33,34,15,1
18.16,40,10,0
24,36,16,0
6.97,27,15,0
15.36,41,12,0
16.32,58,10,0
10.56,39,12,1
12.21,54,12,0
9.97,27,15,1
10.95,26,12,1
6.25,60,10,0
6.4,18,10,0
30.49,52,16,1
24,42,12,1
17,60,9,1
10.85,38,13,0
7,34,17,0
20,51,16,1
16.67,39,18,1
3.84,28,14,0
25.48,56,13,0
9.85,30,12,0
21.6,36,15,1
21.99,55,16,0
9.61,31,17,1
10.56,21,11,1
19.2,56,17,1
18.75,27,15,1
19,36,13,0
22.56,50,20,0
22.08,30,12,1
21.56,32,19,1
12.5,45,15,0
14.4,25,13,1
7.5,20,13,1
18.03,31,15,0
6.31,19,14,1
16.3,39,12,1
16.46,51,11,0
6.82,29,16,0
7.3,18,11,1
12.15,35,14,1
8.75,17,11,0
7.2,28,14,0
11.2,32,16,1
12.91,54,9,1
18.26,29,14,1
14,23,12,1
31.8,41,17,1
17.28,52,10,1
11.6,32,12,0
10,58,10,0
23.76,50,14,1
19,41,11,0
5.13,16,10,0
17.76,35,14,0
7.5,35,0,0
25.6,46,15,1
13.95,24,14,0
32.16,38,12,1
7.85,57,9,0
7.77,26,12,0
24.74,32,19,0
12.48,28,13,1
25.51,37,16,0
28.76,59,13,1
19.08,33,16,1
9.4,51,10,0
10,29,14,0
23.04,31,16,0
21.33,36,20,0
14.47,39,12,1
10.58,58,9,0
13.59,29,12,0
18.24,41,13,0
20.95,57,9,0
7.5,31,12,1
11.4,37,8,0
24.96,37,20,0
4.95,31,14,1
32.91,52,17,0
20,36,12,1
15.42,39,12,1
18.46,57,8,1
15.79,38,19,1
30.72,45,17,1
21.13,39,15,0
10,21,12,1
18.65,42,17,1
22.75,28,14,1
27.03,32,14,1
7.4,22,14,1
22.56,44,17,0
16.05,26,10,1
12.46,36,12,1
7,32,12,1
15,54,12,1
7.64,31,11,1
16,41,12,1
19.9,41,17,1
17.28,61,12,1
29.67,32,17,1
6.67,23,16,0
21.33,34,13,1
40,42,19,0
13.23,47,8,0
17.42,41,12,0
10.75,32,12,1
14.84,49,10,1
28.8,59,12,1
15.12,28,15,0
11.97,27,14,1
35.12,51,12,1
9.74,35,13,0
7,18,12,0
17.38,31,13,1
19.86,63,12,1
16.69,50,15,1
12,38,13,0
10,31,14,0
11.52,29,12,0
20.5,39,17,0
11,50,11,1
17.44,58,5,1
19,39,14,1
18.21,46,10,0
11.85,47,11,0
18.92,36,13,1
16.67,51,8,1
24,40,16,1
16.53,45,12,0
21.6,31,18,0
16,32,16,0
6.35,18,13,1
13.75,40,17,0
11.52,23,4,0
13,38,11,1
15,33,13,1
18.24,36,20,1
11.64,54,20,1
7.78,33,14,1
12.29,36,9,0
15.71,49,15,0
7.87,35,2,0
37.89,46,17,1
15.84,29,20,1
32.16,62,18,0
22.66,26,16,1
6.83,18,12,0
6.5,21,12,0
24.32,21,16,1
7,23,16,0
25.92,53,20,1
13.25,46,11,1
19,54,9,0
9.1,19,12,1
18.24,63,14,1
7,57,12,0
19.11,38,13,1
6.7,17,11,1
21.06,59,15,0
9,38,10,0
6.7,30,8,0
11.21,26,17,0
25.77,34,12,0
7.6,24,13,1
40.32,49,18,1
10,44,8,0
27.31,44,17,1
27.84,45,12,1
7.21,17,11,1
21.5,53,14,0
24.96,31,17,0
40.35,36,11,0
6.75,18,12,0
6.41,39,15,0
25.6,41,13,1
22.8,39,12,1
16.25,35,9,1
23.52,32,12,1
21.75,34,13,0
9.03,29,16,0
15.75,31,15,1
6.85,18,12,0
9.86,22,15,0
6.75,16,10,1
14.21,54,10,0
17.33,55,15,0
32.91,47,18,1
26.72,46,18,0
17.21,25,17,1
7.06,40,13,0
7.45,35,14,0
20.64,44,14,0
10.85,44,10,0
16.78,35,14,1
11.9,36,12,0
9.58,38,18,1
17.6,41,13,0
22.57,57,15,1
29.22,40,16,1
22.59,29,15,0
20.16,39,20,1
17.48,48,10,1
13.44,38,10,0
12.8,27,12,0
24,46,10,1
23.04,50,10,0
17.97,29,16,0
19.68,43,11,1
23.16,32,14,0
6.76,20,12,1
17,40,12,0
11.5,30,11,0
7.16,18,7,1
3.26,37,11,1
6.35,18,12,0
15.36,64,11,1
13.06,38,12,1
16.48,33,12,1
21.72,29,16,0
28.8,48,13,1
32.64,37,18,1
19.18,48,9,1
15.36,41,12,0
13.31,39,12,0
18.52,25,14,1
22.56,31,12,1
11.97,29,5,1
12,32,10,0
16.25,57,14,0
24.59,41,14,0
26.88,47,19,1
14,31,14,0
9,48,14,1
38.4,37,19,1
16.58,41,12,1
7.01,45,4,0
8.62,19,13,0
18.9,50,16,0
9,31,14,0
10.72,42,10,0
7,39,9,0
14.84,45,12,0
6.8,17,11,0
24.81,52,12,1
16.8,52,10,1
12,28,12,1
10,21,15,0
19.58,24,16,1
18.02,34,14,0
8.41,58,11,1
26.82,36,12,0
40.32,42,14,1
21.6,42,13,1
10.88,25,13,1
26.88,42,12,1
14.07,50,15,0
7.44,34,9,1
28.8,58,10,1
19.75,33,19,1
6.65,20,15,1
24.4,48,10,1
10.25,35,12,0
15.43,38,17,0
18.41,33,15,1
13.7,39,15,0
6.76,40,12,0
10.45,31,13,0
5.92,55,10,0
16,46,15,0
27.92,34,19,0
35.09,51,4,1
9.55,30,15,0
10.95,46,15,0
17.66,50,14,0
9.69,49,8,0
10.3,42,10,1
15.05,33,15,0
13.38,45,12,0
7.23,25,15,0
10.59,29,12,0
16.42,34,15,1
20,35,16,0
14.34,32,14,0
16.68,47,12,1
14.8,32,9,1
16.73,40,12,0
23.04,30,13,1
15,38,13,1
17,31,10,1
9.94,30,12,0
8.01,18,11,0
14.45,27,12,1
6.35,19,14,0
16,22,13,1
6.7,21,14,1
6.35,22,15,1
19.2,34,12,1
6.48,56,10,0
14.85,55,8,0
10,54,8,0
24.33,37,15,1
34.56,51,19,0
15.36,34,13,1
9.9,46,14,0
24,60,11,1
15.91,29,15,0
40.43,34,9,1
20,49,13,1
23,45,14,1
14.4,32,10,1
17.5,48,4,1
10.28,31,12,0
28.66,50,17,1
17.98,34,17,1
26.4,48,12,1
6.78,18,12,0
13.75,35,13,0
9.04,51,14,0
11,52,11,0
16,27,9,1
9.89,47,9,1
14.03,39,8,1
10.5,25,14,1
9.5,39,10,1
6.25,20,12,0
13.91,31,18,0
22.17,24,16,0
22.08,38,20,1
15,34,13,1
6.85,20,12,0
14.65,37,12,0
8.09,22,14,0
38.4,36,17,1
11,57,8,1
9.95,55,12,0
17.44,30,12,1
12,21,14,1
9.21,17,10,1
15.79,52,10,1
16,47,10,0
7.24,28,19,0
13.82,40,11,0
7.62,24,15,1
7.99,19,12,0
18.24,51,11,1
6.94,23,17,0
16.76,37,19,1
25.44,41,11,1
22.86,35,10,1
6.35,17,10,0
6.75,21,12,1
12,19,13,0
23.04,46,18,1
11.68,60,8,1
10.5,62,9,1
9.91,39,15,0
10.36,43,12,0
18,44,13,1
17.84,46,8,1
22.5,62,15,0
19.1,30,16,1
10.45,45,19,0
6.76,16,10,0
24.77,53,16,1
12.5,35,11,0
15.36,52,15,0
11.55,51,10,0
12.78,34,15,0
18.24,46,13,1
21.6,57,12,1
23.62,58,18,0
10.35,51,17,0
18.39,56,9,1
6.25,17,11,0
7,16,11,1
26.4,49,10,1
24.05,31,14,1
6.25,17,11,0
6.25,44,9,0
14,37,18,1
11.67,27,14,0
9.42,49,12,0
9.94,27,15,0
8.37,23,17,0
9,20,14,1
2.3,44,12,0
6.15,19,12,0
12.11,62,8,1
8.14,28,8,1
18.92,49,17,1
22.99,51,12,0
10.97,27,13,0
18.92,38,11,1
14,46,14,0
19.25,62,12,0
9.5,45,12,0
7.06,23,15,1
15.28,30,12,0
13.45,29,14,1
6.75,61,11,0
30.88,62,12,1
24,53,12,1
17.26,28,12,1
11,36,14,1
28.16,51,14,0
16.94,41,12,0
23.16,44,17,1
10,30,10,0
28.8,51,14,1
11.52,54,12,0
11.11,41,11,1
28.16,52,19,0
9.76,29,14,0
26.88,34,12,1
19.5,45,14,1
19.4,37,17,1
32.91,35,14,1
6.34,16,3,0
12.85,52,12,0
6,16,11,0
39.5,48,20,1
22,28,16,0
18.25,37,15,1
21.6,39,12,1
11.5,59,8,1
19,53,14,1
6,20,15,1
23,36,12,1
20.87,28,18,1
18.72,27,17,1
13.71,44,17,0
31.2,48,18,1
7.25,50,15,1
16.18,53,12,0
7.85,25,13,0
9.38,46,14,0
27.74,55,12,0
23.72,50,9,1
8.91,35,10,0
19.2,28,18,1
23.1,34,18,1
6.71,65,12,0
22.08,40,20,0
27.8,30,9,0
15.34,31,12,1
19.2,42,20,0
18,46,8,1
13.75,34,15,1
28.54,26,17,1
9.25,25,9,1
29.76,37,12,1
14,49,15,1
8.5,28,13,0
20.67,29,19,0
15.36,37,12,0
18.24,31,15,0
22.77,32,18,0
7.53,31,12,0
13.5,30,17,1
6,16,10,1
17.8,30,12,1
17.46,45,9,1
19,48,10,1
21.5,53,7,1
9.72,30,15,0
12,33,13,1
14.96,28,16,0
19.7,23,12,0
23.55,48,13,1
18.92,48,10,1
15,25,15,0
16.85,61,10,0
13.59,48,13,0
8.6,60,16,0
17.14,28,14,1
26.78,42,15,1
21.6,47,12,1
6.98,19,12,0
18.92,57,10,1
11,22,17,1
16,43,13,0
22.81,45,8,1
20.4,38,11,1
25,32,15,0
23.96,36,14,1
22.23,41,16,0
20.87,42,13,1
8.7,22,16,1
32,47,11,1
32.52,42,18,1
10.85,32,15,0
12.5,60,13,0
9.43,21,11,1
16,57,11,0
11,36,12,1
20.24,38,14,1
23.97,55,12,1
8.5,42,12,0
13.73,23,12,1
16.46,54,16,0
3.35,37,7,1
17.76,27,15,1
16.12,33,12,1
27.8,34,12,0
7.12,35,12,0
10.71,52,10,1
30,52,11,0
6.85,31,15,0
19.68,42,16,1
14.4,31,12,0
14.88,40,13,0
6.55,18,12,0
14.4,59,10,1
14.15,25,12,1
15,40,19,0
12.5,31,8,0
9.63,18,12,1
14.71,47,10,0
16.72,36,14,0
9.5,59,12,0
26.48,33,15,1
29.57,48,18,1
25.74,34,13,1
14,38,17,0
3.31,34,9,0
22.19,45,12,1
10.28,29,13,0
4.8,18,13,1
19,48,15,0
18.24,40,14,0
16.7,41,16,1
27.56,40,14,0
6.77,46,10,0
18.76,31,18,0
9.56,24,17,0
10,21,12,1
15,64,13,0
7.85,47,9,0
18.21,30,19,0
25.92,48,18,1
8,30,8,1
6.83,41,14,1
6.7,20,13,0
11.2,48,8,1
19.76,32,14,0
10.56,24,16,1
7.88,20,13,0
10.4,31,12,1
7.5,46,15,0
14.25,31,11,1
17.9,42,14,1
12,47,13,0
17.81,25,13,0
8.57,18,13,0
26.11,39,17,0
19.91,48,12,0
13.26,52,12,0
15.65,49,14,1
18.24,46,10,0
24.96,44,18,0
6.59,19,13,0
10,45,13,0
14.28,39,12,1
16.8,32,11,1
11.68,30,12,0
16,26,16,0
17.9,27,16,1
9.66,45,10,1
23.04,38,18,0
13.59,29,14,0
6.5,19,13,0
10.85,37,12,0
18.24,31,12,1
38,46,17,1
7,18,12,0
6.03,22,14,1
15.81,40,10,0
32.6,38,20,1
15.87,45,10,0
21.53,38,10,1
28.8,42,12,1
12.29,28,17,0
6.79,19,14,0
9.9,50,13,0
17.92,32,17,0
14.03,59,20,1
8.63,24,17,1
6.5,16,9,1
5,16,11,1
9,28,13,1
9.74,24,16,0
35.84,49,20,0
12,65,6,1
6.83,27,13,0
18.39,51,12,1
10.85,25,19,0
3.64,33,13,0
16.32,42,13,1
19,53,14,0
12,48,10,0
6.5,22,12,0
7.61,30,14,0
12.13,51,12,0
6.63,22,13,0
19.2,44,17,1
13.68,49,11,0
21.6,29,16,1
6.81,18,13,1
15,53,4,1
11.77,55,14,0
12,53,12,0
6.7,20,15,0
12.8,27,12,0
28.73,36,15,1
8.33,22,11,1
10.37,39,15,1
31.2,52,10,1
9.85,21,14,0
20.21,33,15,1
6.91,48,11,0
6.7,19,12,1
19.2,28,19,0
28.8,54,16,0
31.33,53,20,1
14.8,42,15,0
18.5,24,15,0
8.05,41,12,0
12.84,20,9,0
21.12,45,17,0
19.97,53,9,1
6,17,10,1
11,26,12,0
13.75,28,17,0
22.9,28,11,1
29.27,38,11,0
20.09,36,12,1
15.52,44,16,0
19.04,36,13,0
18.33,30,18,1
13.92,23,16,1
19.2,39,12,0
11.29,38,10,0
8.33,42,14,0
14,37,10,1
13.71,39,12,0
12.78,33,11,1
18.92,53,13,1
11.06,29,10,1
15.84,25,17,0
11.44,22,17,1
29.6,32,14,1
10,45,20,1
6.87,20,12,1
13.21,28,16,1
17.01,44,12,0
19.2,30,19,0
7.93,30,12,0
12,26,15,1
14.4,62,17,0
18.58,34,16,1
21.12,46,14,1
17.77,31,15,0
13.41,33,13,0
10,34,13,0
11.5,21,11,1
7,17,12,0
10.3,58,10,1
14.59,51,13,0
28.8,54,14,0
8,20,16,0
13.13,32,19,1
6.9,21,15,1
27.14,47,18,1
6.7,24,17,0
20,42,12,0
7.92,28,16,1
6.72,18,10,1
30.38,41,12,1
13.28,54,12,0
4.89,40,12,1
6.6,22,16,0
32.64,65,12,1
14.83,40,12,0
6.5,24,19,0
19,35,12,1
18.92,54,11,1
11.5,33,15,0
11.6,49,12,0
24,32,17,0
25.79,41,19,0
21.44,49,13,1
21.93,51,17,1
7.79,18,13,0
6.7,22,16,0
17.76,42,15,1
12.5,59,11,0
16.8,39,12,1
15.93,34,9,0
7,21,15,0
17.07,32,12,1
8.12,25,18,0
9.45,23,13,1
28.53,41,16,1
9.33,41,14,0
30.66,57,7,0
7.03,25,12,1
12,47,12,1
28.64,51,20,0
9,34,14,0
7.35,52,10,0
17.21,26,16,0
7.52,31,15,0
8.5,31,12,0
8,25,6,1
10.81,46,12,1
7.6,57,9,0
27.79,57,13,0
3.83,17,11,1
6.89,40,16,0
20,37,14,1
27.79,35,18,0
17.85,44,13,1
7,30,12,0
19,40,10,1
20.3,26,18,1
13.79,25,14,1
8.3,24,15,1
14.74,34,13,0
8,25,14,1
19.46,35,12,1
18.35,41,13,0
18.42,27,19,0
7,22,15,1
7,48,15,0
7.48,38,12,0
18,29,15,1
27.9,53,15,1
6.7,18,13,1
14,29,14,0
23.04,56,15,0
10,61,8,1
10,40,15,0
6.57,28,13,0
